,platform,category,publisher,publication_date,title,content,author,article_url,update_date
0,네이버,금융,부산일보,2024.08.01,"[속보] 몬테네그로 항소법원 “권도형, 한국으로 송환해야”",2022년 국내 투자자 20만 명이 3000억 원에 달하는 피해을 입은 테라루나 사태의 핵심 인물인 테라폼랩스 권도형 대가 한국으로 송환될 가능성이 커졌다 은 지난해 5월 11일 권 씨가 몬테네그로 수도 포드고리차 지방법원으로 향하는 모습 연합뉴스테라루나 폭락 사태의 핵심 인물인 테라폼랩스 권도형 대가 한국 재판대에 오를 가능성이 커졌다1일 몬테네그로 항소법원은 권 씨의 한국 송환을 결정한 포드고리차 고등법원의 판결을 확정했다고 홈페이지를 통해 밝혔다항소법원은 판결문에서 포드고리차 고등법원은 권도형에 대해 한국으로의 약식 인도를 허용한 반면 미국의 범죄인 인도 요청은 기각했다며 이러한 결정에 대해 항소하지 않았으므로 포드고리차 고등법원의 결정은 법적 구속력이 있다고 결정했다,이정훈,https://n.news.naver.com/mnews/article/082/0001282255,수정 날짜 없음
1,네이버,금융,뉴스1,2024.08.01,"WB '중진국 함정' 극복 대표 사례로 韓 꼽아…""개도국의 필독서""",ⓒ News1 정윤미 기자 전민 기자 세계은행은 1일 발한 세계개발보고서에서 중진국 함정을 극복한 대 사례로 한국을 소개했다기획재정부에 따르면 WB는 이날 발한 2024년 세계개발보고서중진국 함정 보고서에서 이처럼 밝혔다WB는 1978년부터 매년 개발 협력 관련 특정 주제를 선정하고 정책적 함의 등을 분석해 세계개발보고서를 발간하고 있다 지난해 주제는 이주난민사회였다WB는 많은 개발도상국이 중진국에 진입한 후 고소득국으로 도약하지 못하고 성장이 정체되는 중진국 함정middleincome trap에 빠지고 있다고 분석하며 한국을 중진국 함정 극복의 대 사례로 제시했다WB는 2022년 1인당 국민총소득 기준 하위 중소득국1136달러4465달러과 상위 중소득국4466달러1만 3845달러을 중진국middle income country으로 그 이상을 고소득국으로 정의했다구체적으로 세계은행은 중진국 함정 극복을 위해 투자Investment 기술 도입 혁신Innovation 3가지가 모두 필요하다는 3i 전략을 제시했다처음 저소득국 단계에서는 투자 촉진으로 성장을 시작하지만 중진국 단계 이후에는 투자 확대만을 통한 성장은 한계에 부딪히고 해외 기술 도입 등을 통한 생산성 제고가 필요하다고 언급했다또한 경제성장을 이끄는 것은 결국 기업가의 열망과 리더십이 만들어 내는 변화라는 조지프 슘페터의 창조적 파괴 이론을 언급했다 지속적인 생산성 제고와 경제성장을 위해서는 낡은 제도와 관습의 창조적 파괴를 통한 혁신이 필요하다고 분석했다WB는 한국이 3i 전략을 효과적으로 활용해 1인당 GNI가 1960년 1200달러 이하에서 2023년 약 3만3000달러 수준으로 급격하게 성장한 성장 슈퍼스타Super Star라고 언급했다 또 한국 경제 발전사는 개도국 정책 입안자의 필독서required reading라고 소개했다한국의 성장 배경으로는 금융시장 개방과 외국 자본 유치 등을 통한 인프라 투자 확대 해외 기술의 도입과 연구개발 교육 등에 대한 적극적인 투자를 통한 생산성 제고 등을 꼽았다WB는 보고서에서 최근 지정학적 긴장으로 인한 무역과 투자의 위축 포퓰리즘과 공공부채의 증가 기후변화 등이 중진국 성장 전망을 더욱 어둡게 하고 있다고 경고했다 그러면서 오늘날 중진국이 한국이 25년 만에 이뤄낸 성과를 50년 만에 달성하는 것도 기적이라고 해도 지나치지 않은 상황이라고 언급했다 WB는 한국 이외에 고성장을 이룬 국가로 폴란드 칠레 등을 언급했다기획재정부 관계자는 세계은행이라는 전 세계적으로 권위 있는 국제기구가 한국의 성장 역사를 극찬하고 이를 바탕으로 개도국의 성장 전략을 제시하는 것은 매우 고무적이라고 평가했다이어 보고서에서 제시한 3i 전략의 혁신 생태계 조성 사회 이동성 공정경쟁 등 주요한 내용들이 모두 우리 정부가 발한 역동경제 로드맵에 포함된 내용으로 일맥상통한다고 덧붙였다,전민 기자,https://n.news.naver.com/mnews/article/421/0007704171,2024.08.01
2,네이버,금융,파이낸셜뉴스,2024.08.01,"지난달 5대 은행 가계대출, 7조 넘게 늘어",7월말 기준 715조7383억거래회복에 대출막차 수요 겹쳐3년 3개월만에 최대폭 증가 지난달 KB국민신한하나우리NH농협은행의 가계대출 잔액이 3년3개월 만에 최대 폭으로 불어났다 주택거래 회복에 대출규제 막차 수요까지 몰렸기 때문인 것으로 풀이된다 1일 금융권에 따르면 국민신한하나우리농협은행의 가계대출 잔액은 7월 말 기준 715조7383억원으로 집계됐다 이는 6월 말708조5723억원 대비 7조1660억원 급증한 것으로 4개월 연속 증가세다 1개월 만에 9조2266억원이 늘었던 지난 2021년 4월 이후 월간 증가 폭이 가장 컸다 대출 종류별로는 주택담보대출이 552조1526억원에서 559조7501억원으로 7조5975억원 늘었다 정부와 금융당국의 압박 속에 은행권이 지난달부터 잇따라 가계대출 금리를 인상하고 있지만 부동산 경기회복 기대감에 따른 대출 수요를 막을 수 없었다 부동산 가격 상승을 기대한 심리에 대출규제 막차 수요까지 더해진 결과다 신용대출은 102조7781억원에서 1713억원 줄어 102조668억원으로 집계됐다 시중은행 관계자는 가계대출 증가세는 결국 부동산 거래량 회복에 영향을 받았을 것이라며 부동산 대출은 실수요가 있을 때만 가능한 대출인 만큼 주담대 규제 강화 시행 전 막차 수요 영향이라고 설명했다 기업 대출도 지난 1월 이후 7개월 연속 증가세를 보였다 5대 은행의 기업대출 잔액은 7월 말 기준 818조2285억원으로 집계됐다 이 중 중소기업 대출이 656조1554억원 대기업 대출이 162조731억원이다 기업대출 잔액은 한 달 새 6조8803억원 증가했다 5대 은행의 정기예금은 지난 6월 891조1524억원에서 1개월 만에 18조1879억원 증가한 909조3403억원으로 집계됐다 정기적금도 34조6084억원에서 35조7311억원으로 1조1227억원 증가했다 같은 기간 요구불예금은 638조8317억원에서 609조6922억원으로 29조1395억원 감소했다,박문수,https://n.news.naver.com/mnews/article/014/0005222263,수정 날짜 없음
3,네이버,금융,매일경제,2024.08.01,"“여보, 달러 팔고 엔화 사자”...두달만에 1360원대, 엔화는 920원 눈앞",원화 달러 약세엔화 강세 연동해 일시적 13401350원대 가능성추세적 반등으로 보기 어려워100엔당 원화값 장중 919원 기록하반기 940960원 내려갈 전망 1일 서울 명동의 환전소에 각국의 화폐환율에 게시되어있다 일본이 금리를 올린 데 이어 미국이 9월 금리 인하 가능성을 시사하면서 달러 대비 원화값이 모처럼 10원 가량 급등하며 두 달만에 1360원대에 진입했다 100엔당 원화값은 장중 한때 11개월만에 최저 수준인 920원에 바짝 다가섰다1일 서울외환시장에서 달러대비 원화값은 전장오후3시30분 기준 대비 103원 오른 13662원에 거래를 마쳤다 6월7일 이후 두 달만에 최고 수준이다 이날 달러대비 원화값은 장중 상승폭을 키우며 136180원까지 치솟았다원화가 강세를 나타낸 건 미국이 31일 연방공개시장위원회에서 9월 금리 인하 가능성을 언급하면서 미국 국채 금리가 떨어지고 달러화가 약세를 나타냈기 때문이다 전날 일본은행의 금리인상과 우에다 가즈오 총재의 매파적 발언 여파가 지속되면서 엔화 강세달러 약세 현상이 두드러진 것도 원화 가치를 끌어올렸다는 분석이다권아민 NH투자증권 연구원은 시장의 기대에 부합한 FOMC 결과가 나오자 9월 금리 인하 기대감이 커지면서 원화값이 상승 압력을 크게 받았다고 설명했다이날 주요 6국 통화대비 달러 가치를 나타내는 달러인덱스는 10402로 103을 목전에 뒀다 달러대비 엔화는 도쿄외환시장에서 4개월만에 가장 높은 수준인 148엔대에 거래됐다다만 원화의 반등이 추세적으로 계속될 것으로 보기엔 섣부르다는 분석이 많다 권 연구원은 일본과 미국의 통화정책회의를 거치며 나타난 엔화 강세달러 약세에 연동된 흐름으로 봐야한다며 향후 유럽 금리 인하 가능성을 비롯해 미국 대선 국내 경제의 펀더멘털 등을 감안할 때 오히려 원화 약세 가능성을 열어둬야한다고 진단했다백석현 신한은행 이코노미스트도 미국의 9월 금리 인하를 선반영하는 분위기를 타고 89월에 달러당 원화값이 일시적으로 13401350원대에 올라설 수 있지만 되돌림이 나타날 것이라며 팔레스타인 무장정파 하마스 수장 암살로 촉발된 중동 긴장과 같은 지정학적 리스크도 향후 원화 약세 재료가 될 가능성이 있다고 분석했다엔화가 강세로 돌아서면서 엔화 대비 원화값은 하락세가 이어지고 있다 이날 100엔당 원화값은 전장 보다 983원 내린 91071원에 거래됐다 엔화값이 상승세를 타면서 장중 100엔당 원화값은 하나은행 고시 기준 작년 8월23일 이후 11개월만에 최저 수준인 91972원을 기록하기도 했다 달러 대비 엔화가 원화보다 상대적으로 강한 상황이 지속될 가능성이 높다는 점에서 하반기 100엔당 원화값이 940원960원대까지 내려갈 수 있다는 전망이 많다,임영신,https://n.news.naver.com/mnews/article/009/0005344191,수정 날짜 없음
4,네이버,금융,한겨레,2024.08.01,"일본은행 ‘깜짝’ 금리 인상, 엔화도 깜짝 상승",1일 원엔 환율 91071원지난 26일 서울 중구 하나은행 위변조대응센터에서 직원이 엔화와 달러를 정리하고 있다 연합뉴스엔화 가치가 4개월여 만에 최고 수준으로 치솟았다 일본은행이 깜짝 정책금리 인상을 단행하고 미국 연방준비제도가 오는 9월 중 금리 인하를 시사한 영향으로 풀이된다원엔 재정환율은 1일 오후 3시30분 서울외환시장에서 전날보다 983원 오른 100엔당 91071원을 기록했다 엔달러 환율은 이날 오후 5시25분 글로벌 외환시장에서 같은 날 오전 6시보다 038엔 내린 14965엔이었다 엔화 가치가 지난 3월18일 이후 최고 수준을 기록한 것이다전날 일본은행은 금융정책결정회의에서 단기 정책금리를 기존 001에서 025로 인상하며 엔화 강세에 힘을 실어줬다 일본은행의 이번 결정은 지난 3월 17년 만에 마이너스 금리에서 벗어난 데 이어 이뤄진 올해 두 번째 인상이다 10월 인상을 점치던 시장 기대를 앞지른 결정에 엔화 값은 강세를 이어가는 모습이다 미국 연준이 오는 9월 금리를 인하할 가능성을 31일 시사한 것도 달러 약세를 불러오며 엔화 강세를 부채질하고 있다엔화 값 상승이 상대적으로 점진적인 데에는 앞선 오름세가 영향을 미친 것으로 풀이된다 외환시장에서 엔화 값은 지난 7월11일을 기점으로 상승세를 이어온 터다 올해 들어 극심한 엔화 평가 절하가 이어면서 일본은행이 엔화 약세 방어에 나설 조짐을 보이자 시장이 이를 미리 반영한 것이다시장에서는 일본은행이 연내 추가 인상에 나설지 주목하고 있다 박수연 메리츠증권 연구원은 일본은행의 4분기 추가 인상 가능성을 열어둘 필요가 있다며 9월 연방공개시장위원회 회의에서 연내 3차례 인하 가능성이 부각될 경우 달러 약세와 엔화 추가 절상 가능성에 유의해야 할 것이라고 짚었다,남지현,https://n.news.naver.com/mnews/article/028/0002700897,2024.08.01
5,네이버,금융,매일경제,2024.08.01,“5600억으로 못막으면 추가 지원” 정부 속도전…티메프는 동시다발 압수수색,중기부는 온라인 쇼핑몰 40곳 실태점검알짜 계열사 투자자 구 대 손절 움직임도 오택림 전북특별자치도 미래첨단산업국장이 1일 전북자치도의회에서 열린 티몬위메프 전북 피해기업 지원대책 마련 간담회에서 도내 기업 피해 상황을 설명하고 있다 정부가 티몬위메프 미정산 사태와 관련해 앞서 발한 5600억원+알파 지원 대책에 이어 추가적인 유동성 지원 방안을 검토하고 있다 이번 사태로 인한 피해규모가 1조원을 넘어설 수 있다는 우려를 반영한 조치다티메프 경영진의 사태 수습의지에 대한 의구심이 커지는 상황에서 이들에 대한 금융수사당국의 압박 수위도 올라가고 있다 금융당국은 티메프 사태와 관련한 위법 사항을 집중점검하기로 했고 검찰은 동시다발 압수수색을 시작하며 수사를 본격화했다 중소기업벤처부는 같은 사태가 재발하지 않도록 온라인 쇼핑몰에 대한 실태점검에 일제히 돌입했다 아울러 티메프 모회사 큐텐의 핵심 계열사인 큐익스프레스에서는 주요 주주와 채권자들이 경영권 인수 방안 검토에 나섰다1일 정부는 거시경제금융회의를 열고 티메프 사태를 비롯한 금융시장 현안을 논의했다 최상목 경제부총리 겸 기획재정부 장관은 5600억원 플러스 알파 규모 지원 대책을 신속하게 집행하고 필요시 추가적인 유동성 지원 방안도 강구하겠다고 밝혔다 김병환 신임 금융위원장과 이복현 금융감독원장도 소비자에 대한 피해구제와 판매자에 대한 금융애로 해소를 신속하게 추진하고 위법사항을 집중 점검해 나가기로 했다검찰 수사도 본격화됐다 검찰은 이날 구영배 큐텐그룹 대이사 자택을 비롯해 티몬과 위메프 사옥 포함 10여곳을 동시 압수수색했다 전담수사팀이 꾸려진 지 사흘 만이다 검찰은 압수수색 영장에 1조원대 사기 혐의와 400억원의 횡령 혐의를 기재한 것으로 알려졌다정부는 다른 플랫폼에서도 유사사례가 재발할 가능성에 촉각을 곤두세우고 있다 이날 중기부는 소상공인 온라인 판로지원 사업을 위해 협업하는 온라인 쇼핑몰 40곳의 실태점검에 나섰다이날 투자은행 업계에 따르면 큐익스프레스 주요 주주와 채권자들은 최근 큐익스프레스 경영권을 인수하는 방안을 적극 검토하고 있다 FI들이 채권의 전환교환권을 활용해 경영권 지분을 확보하게 되면 구 대는 주요 계열사인 큐익스프레스의 경영권을 잃을 수도 있다,유준호,https://n.news.naver.com/mnews/article/009/0005344189,수정 날짜 없음
6,네이버,금융,매일신문,2024.08.01,美 연준 기준금리 동결 이르면 9월 인하 논의,제롬 파월 미국 연방준비제도 의장이 12일 워싱턴 DC에서 열린 연방공개시장위원회 정례회의 뒤 연 기자회견에서 기준금리 동결 방침을 설명하고 있다 연합뉴스미국 중앙은행인 연방준비제도가 31일 기준금리를 동결하면서 오는 9월 금리 인하 가능성을 시사했다연준은 이날 연방공개시장위원회 정례회의에서 기준금리를 현재 수준인 525550로 유지하기로 결정했다 특히 연준은 보도자료를 통해 금리 인하를 언급했다제롬 파월 연준 의장은 기자간담회에서 경제 상황이 여건을 충족할 경우 이르면 오는 9월 통화정책 회의에서 금리 인하를 논의할 수 있다고 밝혔다 그는 9월 인하 조건과 관련해 구체적인 예시도 제시했다파월 의장은 기자간담회에서 인플레이션이 빠르게 둔화하거나 기대 경로에 맞춰 둔화하는 가운데 경제 성장세가 강하게 유지되고 고용시장 상황이 현 수준에서 유지된다면 금리 인하가 9월 회의 때 테이블 위에 오를 수 있다고 생각한다고 설명했다미국 언론은 이번 FOMC 결과 발 이후 연준이 예상대로 오는 9월 FOMC에서 기준금리를 인하할 것으로 관측하고 있다,노경석,https://n.news.naver.com/mnews/article/088/0000895482,2024.08.02
7,네이버,금융,매일신문,2024.08.01,세계 시장 금리 인하 하려는데 일본만 ‘나홀로 인상’ 왜?,일본 도쿄 일본은행 연합뉴스세계 각국이 금리를 인하하거나 인하를 검토하는 가운데 일본만 인상하고 있어 그 배경에 관심이 모이고 있다 일본은 슈퍼엔저에 따른 물가상승 등 부작용을 해소하고자 천문학적인 자금을 쏟아부었고 마지막 카드로 금리 인상을 꺼내들었다일본은행은 지난달 31일 통화정책결정회의에서 정책금리를 001에서 025로 인상했다 앞서 일본은행은 지난 3월 금리를 한 차례 인상한 바 있다 당시 정책 목로 하는 단기 시장금리에 대해 001 정도로 움직이도록 한다고 했지만 4개월 만에 이를 025로 또 올린 것이다잇따른 금리 인상은 계속되는 엔저를 해결할 방안이 마땅치 않았기 때문이다 당장 엔화 약세는 일본 기업의 수출에서는 우위를 점하게 하지만 물가 상승 부작용도 일으켰다이 때문에 그동안 일본 정부와 일본은행은 외환 시장에 개입해왔다 1일 일본 니혼게이자이신문에 따르면 일본정부와 일본은행은 지난 4월 26일5월 29일 9조7천885억엔 규모의 외환 시장 개입을 단행했다 엔화가 상승하는 듯 했지만 일시적이었을 뿐 다시 엔화 가치는 하락했다이어 일본 재무성은 지난 6월 27일7월 29일 5조5348억엔약 50조 4967억원 규모의 개입을 단행했다 이로 인해 엔달러 환율이 일시적으로 떨어졌다천문학적인 돈을 쏟아부어도 잡지 못했던 슈퍼엔의 끝이 보이기 시작한 것은 일본 정부가 금리 인상을 발하면서다 지난달 31일 일본은행이 기준금리 인상과 국채 매입액 감축 등 통화 정책 변경을 발한 뒤 도쿄 외환시장에서 환율은 달러당 15008엔까지 떨어졌다 지난달 11일 160엔대에 비해 10엔 이상 하락했다NHK는 일본정부가 추가 금리 인상을 결정한 후 엔 매수 움직임이 급격히 강해졌다면서 미국의 금리 인하가 가까워졌다는 견해도 겹치면서 엔화가 매수되기 쉬운 상황이 계속되고 있다고 보도했다,노경석,https://n.news.naver.com/mnews/article/088/0000895481,2024.08.02
8,네이버,금융,이데일리,2024.08.01,[마켓인]금융주 상승 랠리에 PEF '방긋'…연달아 지분 팔아 회수,IMM PEEQT어피니티칼라일 블록딜 성공한 PEF들연초 대비 절반 넘게 오른 금융주에 차익 실현 거둬호실적정책 효과에 하반기도 전망 좋은 금융주이 기사는 2024년08월01일 18시25분에 마켓인 프리미엄 콘텐츠로 선공개 되었습니다 국내외 사모펀드 운용사들이 올해 계속해서 금융지주 지분을 매각하고 있다 잇따른 금융주 상승 랠리에 엑시트에 돌입한 것으로 풀이된다 한편 투자은행 관계자들은 상반기에 이어 하반기까지 PEF들의 금융주 매각 움직임이 지속될지 관심을 기울이는 모양새다 금융지주들이 정부 정책의 영향과 고금리 상황 지속으로 2분기 역대급 실적을 올린 만큼 하반기 주가에도 청신호가 켜지고 있어서다서울의 한 건물에 설치된 은행 ATM기 1일 IB 업계에 따르면 지난달 30일 IMM프라이빗에쿼티는 우리금융지주 지분율 23에 달하는 지분 총 1677만 8107주를 시간 외 대량 매매로 매각했다 주당 매각 단가는 1만 5737원으로 총 2640억원 어치를 판 셈이다 이로써 IMM PE의 우리금융 지분은 138가 됐다금융지주 지분 매각 사례는 이뿐만이 아니다 올해 초부터 다양한 국내외 PEF 운용사가 블록딜 성공 사례를 내놓고 있다 신한금융지주 지분을 보유했던 IMM PE와 EQT프라이빗캐피탈은 지난 3월 각각 1700억원 규모 4115억원 규모로 신한금융 지분을 매각했다 구체적으로 IMM PE는 지분 07를 장내에서 EQT는 지분율 18에 달하는 총 929만 7000주를 시간 외 거래로 매각했다홍콩계 PEF 어피니티에쿼티파트너스 역시 신한금융 지분을 지난 1월 말과 2월 초 두 차례 걸쳐 정리했다 지분율 2를 정리한 것으로 이는 약 4500억원 어치에 달한다 이로써 어피니티의 신한금융 잔여 지분율은 약 18가 됐다 이외에도 글로벌 PEF 칼라일그룹이 올해 2월 KB금융지주 지분 500만주 블록딜에 성공했다 한 주당 매각가가 6만 5200원으로 총 매각 규모는 3260억원에 달했다업계는 금융주 강세 추세가 지속되자 차익 실현을 거둔 PEF 운용사들이 금융지주 지분 매각에 나선 것으로 풀이하고 있다 이미 충분한 수익을 확보했다고 파악해 지분 정리에 나섰다는 분석이다 4대 금융지주 주가는 정부의 밸류업 프로그램 정책 시행과 고금리에 역대급 실적이 이어지자 고공 행진을 이어가고 있다 실제로 한국거래소에 따르면 올들어 4대 금융지주 주가는 KB금융신한금융하나금융우리금융 순으로 각각 약 65 54 51 23 상승했다이제 업계 시선은 하반기로 쏠리고 있다 PEF 운용사의 한 관계자는 기관외국인 투자자들의 금융주 매수가 시작되고 있고 금융지주들도 주가 환원 정책을 속속 내놓고 있어 밸류 상승 기대감이 커지고 있다면서도 지금이 고점일 수 있다는 이야기도 나오는 만큼 아직 지분을 정리하지 않은 PEF들이 차익 실현과 펀드 결성을 위한 유동성 확보를 이유로 하반기에도 계속해서 지분 매각 행렬을 이어갈지는 좀 더 지켜봐야 할 일이라고 전했다,박소영,https://n.news.naver.com/mnews/article/018/0005802724,수정 날짜 없음
9,네이버,금융,데일리안,2024.08.01,"금감원, 티메프 제도개선 TF 설치…검사인력 확대",기재부 중심 보완 방안 마련불법적 자금흐름 정황 확인서울 여의도 금융감독원 본원 전경 ⓒ금융감독원 금융감독원이 티메프 정산 및 환불 지연 사태 재발방지를 위해 태스크포스를 설치하고 검사인력을 확대하기로 했다금감원은 티메프 사태에서 나타난 규제 사각지대 관련 제도 개선을 위해 12명 규모로 TF를 꾸리고 오는 2일부터 운영한다고 1일 밝혔다최근 티메프 사태에서 나타났듯이 이커머스의 전자지급결제대행업체 겸영 과정에서 판매점 및 소비자 보호를 위한 규제체계에 사각지대가 발생했다PG의 경영지도비율 미준수에도 제대로 된 감독조치 수단이 부재했고 이 때문에 이커머스가 일시적 현금조달 수단으로 이용자보호 조치가 적용되지 않는 상품권을 대량 판매해 활용했다PG를 겸영하고 있는 이커머스의 사업구조나 경영방침에 따라 PG 규제를 우회해 지급결제를 운용할 여지도 존재했다이에 금감원은 이번 티메프 사태로 확인되고 있는 제도적 미비점을 앞으로 기획재정부 중심의 관계부처 공동으로 보완 방안을 마련할 예정이다금감원은 정부 공동의 제도개선 방안 마련을 지원하기 위해 총 12명겸직 5명전담직원 7명 규모로 TF를 운영할 방침이다 TF에서 최대한 신속하게 금감원 차원의 제도개선 건의사항들을 도출해 정부 관계부처에 공유할 예정이다아울러 티메프 현장검사 과정에서 다양한 불법적 자금흐름 정황이 확인되고 있는 만큼 검사인력을 기존 9명에서 12명으로 확대할 예정이다이에 따라 현재 금감원이 운영중인 티메프 대응 인력은 총 34명제도개선 12명현황관리 5명현장검사 17명 규모에 이른다,황현욱,https://n.news.naver.com/mnews/article/119/0002857810,수정 날짜 없음
